date,review_count
2024-04-12,625
2024-04-13,750
2024-04-14,813
2024-04-15,871
2024-04-16,881
2024-04-17,847
2024-04-18,832
2024-04-19,737
2024-04-20,752
2024-04-21,832
2024-04-22,793
2024-04-23,856
2024-04-24,894
2024-04-25,860
2024-04-26,712
2024-04-27,679
2024-04-28,752
2024-04-29,715
2024-04-30,682
2024-05-01,791
2024-05-02,735
2024-05-03,649
2024-05-04,658
2024-05-05,658
2024-05-06,662
2024-05-07,698
2024-05-08,695
2024-05-09,678
2024-05-10,583
2024-05-11,639
2024-05-12,705
2024-05-13,812
2024-05-14,1166
2024-05-17,1237
2024-05-18,1102
2024-05-19,1160
2024-05-20,1115
2024-05-21,1140
2024-05-22,1136
2024-05-23,1047
2024-05-24,991
2024-05-25,929
2024-05-26,985
2024-05-27,934
2024-05-28,1018
2024-05-29,1005
2024-05-30,984
2024-05-31,904
2024-06-01,821
2024-06-02,830
2024-06-03,607
2024-06-04,1071
2024-06-05,908
2024-06-10,952
2024-06-11,1006
2024-06-12,1064
2024-06-13,953
2024-06-14,871
2024-06-15,781
2024-06-16,686
2024-06-17,888
2024-06-18,721
2024-06-19,606
2024-06-20,461
2024-06-21,420
2024-06-22,354
2024-06-23,386
2024-06-24,325
2024-06-25,316
2024-06-26,409
2024-06-27,629
2024-06-28,765
2024-06-29,729
2024-06-30,852
2024-07-01,889
2024-07-02,957
2024-07-03,930
2024-07-04,928
2024-07-05,850
2024-07-06,782
2024-07-07,864
2024-07-08,831
2024-07-09,874
2024-07-10,884
2024-07-11,793
2024-07-12,749
2024-07-13,749
2024-07-14,788
2024-07-15,724
2024-07-16,738
2024-07-17,848
2024-07-18,765
2024-07-19,668
2024-07-20,689
2024-07-21,777
2024-07-22,781
2024-07-23,798
2024-07-24,838
2024-07-25,833
2024-07-26,772
2024-07-27,697
2024-07-28,840
2024-07-29,857
2024-07-30,874
2024-07-31,892
2024-08-01,827
2024-08-02,777
2024-08-03,733
2024-08-04,798
2024-08-05,820
2024-08-06,815
2024-08-07,935
2024-08-08,835
2024-08-09,741
2024-08-10,794
2024-08-11,891
2024-08-12,865
2024-08-13,876
2024-08-14,889
2024-08-15,861
2024-08-16,765
2024-08-17,804
2024-08-18,920
2024-08-19,983
2024-08-20,1106
2024-08-21,1144
2024-08-22,1033
2024-08-23,950
2024-08-24,939
2024-08-25,965
2024-08-26,1088
2024-08-27,1041
2024-08-28,1017
2024-08-29,1014
2024-08-30,916
2024-08-31,858
2024-09-01,973
2024-09-02,1033
2024-09-03,1015
2024-09-04,1003
2024-09-05,913
2024-09-06,823
2024-09-07,841
2024-09-08,1014
2024-09-09,1015
2024-09-10,1059
2024-09-11,1150
2024-09-12,1098
2024-09-13,962
2024-09-14,891
2024-09-15,930
2024-09-16,932
2024-09-17,984
2024-09-18,1018
2024-09-19,1014
2024-09-20,969
2024-09-21,883
2024-09-22,892
2024-09-23,831
2024-09-24,874
2024-09-25,843
2024-09-26,871
2024-09-27,771
2024-09-28,739
2024-09-29,843
2024-09-30,844
2024-10-01,779
2024-10-02,876
2024-10-03,1012
2024-10-04,932
2024-10-05,894
2024-10-06,952
2024-10-07,395
2024-10-08,1786
2024-10-09,867
2024-10-10,809
2024-10-11,834
2024-10-12,807
2024-10-13,882
2024-10-14,944
2024-10-15,954
2024-10-16,928
2024-10-17,1044
2024-10-18,881
2024-10-19,926
2024-10-20,1003
2024-10-21,898
2024-10-22,971
2024-10-23,944
2024-10-24,992
2024-10-25,910
2024-10-26,815
2024-10-27,860
2024-10-28,858
2024-10-29,793
2024-10-30,793
2024-10-31,769
2024-11-02,810
2024-11-03,809
2024-11-04,845
2024-11-05,885
2024-11-06,881
2024-11-07,838
2024-11-08,842
2024-11-09,879
2024-11-10,901
2024-11-12,870
2024-11-13,929
2024-11-14,804
2024-11-15,875
2024-11-16,803
2024-11-17,888
2024-11-18,790
2024-11-19,828
2024-11-20,924
2024-11-21,900
2024-11-22,834
2024-11-23,810
2024-11-24,953
2024-11-26,902
2024-11-27,1173
2024-11-28,1151
2024-11-29,1164
2024-11-30,1031
2024-12-01,1177
2024-12-02,1156
2024-12-03,1134
2024-12-04,1199
2024-12-05,1158
2024-12-06,1034
2024-12-07,1084
2024-12-08,1144
2024-12-09,1185
2024-12-10,1211
2024-12-11,84
2024-12-12,1363
2024-12-13,1143
2024-12-14,1071
2024-12-15,1111
2024-12-16,1107
2024-12-17,1182
2024-12-18,1206
2024-12-19,1203
2024-12-20,1157
2024-12-21,1099
2024-12-22,1060
2024-12-23,1184
2024-12-24,1042
2024-12-25,1166
2024-12-26,1169
2024-12-27,1169
2024-12-28,1126
2024-12-29,1095
2024-12-30,1053
2024-12-31,1043
2025-01-01,988
2025-01-02,1268
2025-01-03,1078
2025-01-04,1112
2025-01-05,1205
2025-01-06,1381
2025-01-07,1208
2025-01-08,1298
2025-01-09,1331
2025-01-10,1441
2025-01-11,1171
2025-01-12,1220
2025-01-13,1116
2025-01-14,1132
2025-01-15,1214
2025-01-16,1186
2025-01-17,1195
2025-01-18,1143
2025-01-19,1248
2025-01-20,1314
2025-01-21,1314
2025-01-22,1298
2025-01-23,1382
2025-01-24,1209
2025-01-25,1125
2025-01-26,1163
2025-01-27,1306
2025-01-28,1381
2025-01-29,1614
2025-01-30,1519
2025-01-31,1417
2025-02-01,1278
2025-02-02,1320
2025-02-03,1332
2025-02-04,1364
2025-02-05,1407
2025-02-06,1505
2025-02-07,1292
2025-02-08,1237
2025-02-09,1298
2025-02-10,1344
2025-02-11,1395
2025-02-12,1351
2025-02-13,1333
2025-02-14,1243
2025-02-15,1263
2025-02-16,1502
2025-02-17,1415
2025-02-18,1451
2025-02-19,1491
2025-02-20,1377
2025-02-21,1318
2025-02-22,1284
2025-02-25,1299
2025-02-26,1370
2025-02-27,1265
2025-02-28,1376
2025-03-01,1245
2025-03-02,1317
2025-03-03,1281
2025-03-04,1344
2025-03-05,1356
2025-03-06,1416
2025-03-07,1280
2025-03-08,1272
2025-03-10,1271
2025-03-11,1293
2025-03-12,1253
2025-03-13,1303
2025-03-14,1127
